"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
USDT,Coinsuper,USDT/USD,1425.36667333,"2021-06-08T15:09:12.000Z"
USDT,Tokenize Xchange,USDT/USD,1129.76529857,"2021-06-08T15:09:10.000Z"
USDT,CoinDCX,USDT/DAI,1104.35332566,"2021-06-08T15:06:12.000Z"
USDT,SwipeSwap,USDT/BUSD,988.72608369,"2021-06-08T15:06:13.000Z"
USDT,NiceHash,USDT/USDC,854.19470488,"2021-06-08T15:06:07.000Z"
USDT,Kuna,USDT/USDC,413.50300000,"2021-06-08T15:06:07.000Z"
USDT,Dove Wallet,USDT/PAX,219.02199616,"2021-06-08T15:06:10.000Z"
USDT,Dove Wallet,USDT/TUSD,123.01746043,"2021-06-08T15:03:11.000Z"
USDT,BITEXBOOK,USDT/USD,122.42224830,"2021-06-08T15:09:10.000Z"
USDT,Dove Wallet,USDT/USDC,68.30517267,"2021-06-08T15:06:10.000Z"
USDT,"50x",USDT/DAI,13.63155002,"2021-06-08T15:06:12.000Z"
USDT,Nash,USDT/USDC,6.00000000,"2021-01-25T07:42:07.000Z"
USDT,Mooniswap,USDT/DAI,2.63266700,"2021-06-05T11:21:07.000Z"
USDT,Beaxy,USDT/USDC,1.00000000,"2021-06-08T15:06:10.000Z"
USDT,Mooniswap,USDT/USDC,0.65572200,"2021-06-05T11:21:07.000Z"
USDT,EQUOS,USDT/USDC,0.00100000,"2021-06-08T15:06:13.000Z"
USDT,Coindeal,USDT/USD,0.00000000,"2021-02-11T10:30:17.000Z"
USDT,Switcheo Network,USDT/DAI,0.00000000,"2021-06-08T15:06:18.000Z"
USDT,Huobi Indonesia,USDT/HUSD,0.00000000,"2021-06-08T15:06:07.000Z"
USDT,SwipeSwap,USDT/USDC,0.00000000,"2021-06-08T15:06:13.000Z"
UST,"1inch Exchange",UST/USDT,485443.16763709,"2021-06-08T15:03:22.000Z"
UST,Uniswap (V2),UST/USDT,207201.71499438,"2021-06-08T15:06:11.000Z"
UST,Bittrex,UST/USDT,116141.89484623,"2021-06-08T15:07:53.000Z"
UST,MXC.COM,UST/USDT,103408.20000000,"2021-06-08T15:06:16.000Z"
UST,Gate.io,UST/USDT,85075.93115848,"2021-06-08T15:07:54.000Z"
UST,OpenOcean,UST/BUSD,19014.46898868,"2021-06-03T08:57:07.000Z"
UST,DODO BSC,UST/BUSD,11843.83477133,"2021-05-27T10:15:19.000Z"
UST,OpenOcean,UST/USDT,4006.03595400,"2021-06-02T15:09:11.000Z"
UST,OpenOcean,UST/USDC,2397.60000000,"2021-05-24T15:27:08.000Z"
UST,DODO BSC,UST/USDT,1548.45000000,"2021-06-08T08:15:29.000Z"
